question_id,parent_question_id,sub_label,question_text,is_required,information_text,question_category,question_type_id
53,,,"When was the last time you completed any work on the parking exhaust system, fans, or gas monitors, if you have them?",true,,Services,4
256,53,a,Who was the supplier?,true,,Services,4
257,53,b,What was the cost?,true,,Services,4
54,,,When was the last time you completed any work on the fire panel or emergency alarm system?,true,,Services,4
258,54,a,Who was the supplier?,true,,Services,4
259,54,b,What was the cost?,true,,Services,4
55,,,When was the last time you completed any work on the irrigation system?,true,,Exterior,4
260,55,a,Who was the supplier?,true,,Exterior,4
261,55,b,What was the cost?,true,,Exterior,4
56,,,"When was the last time you completed any repair or replacement work on the landscaping, exterior lighting or internal roadways, driveways or parkade ramps?",true,,Exterior,4
262,56,a,Who was the supplier?,true,,Exterior,4
263,56,b,What was the cost?,true,,Exterior,4
57,,,"When was the last time you completed any repair or replacement work on the security gate, or the motor?",true,,Exterior,4
264,57,a,Who was the supplier?,true,,Exterior,4
265,57,b,What was the cost?,true,,Exterior,4
58,,,When was the last time you completed any work on the fences?,true,,Exterior,4
266,58,a,Who was the supplier?,true,,Exterior,4
267,58,b,What was the cost?,true,,Exterior,4
268,58,c,"Do you share costs for the maintenance of fences, etc?",true,,Exterior,4
59,,,Are you planning any work in the future around the items discussed above?,true,,Exterior,4
269,59,a,"When was the last time you completed any repair or replacement work on the loading doors, or the motor?",true,,Exterior,4
270,59,b,Who was the supplier?,true,,Exterior,4
271,59,c,What was the cost?,true,,Exterior,4
60,,,"When was the last time you completed any repair or replacement work on the water, sanitary or sewer systems, or the sump pump?",true,,Services,4
272,60,a,Who was the supplier?,true,,Services,4
273,60,b,What was the cost?,true,,Services,4
61,,,Has anything been replaced in the past few years that is not included in the above questions?,true,,Services,4
62,,,Is there an Amenity Room (including Guest Suites)?,true,,Amenity Room,3
63,,,When was the last time you painted the interior of the amenity areas?,true,,Amenity Room,4
274,63,a,Who was the supplier?,true,,Amenity Room,4
275,63,b,What was the cost?,true,,Amenity Room,4
64,,,When was the last time you completed any flooring in the interior of the amenity areas?,true,,Amenity Room,4
276,64,a,Who was the supplier?,true,,Amenity Room,4
277,64,b,What was the cost?,true,,Amenity Room,4
65,,,When was the last time you completed any repair or replacement work on the interior lights?,true,,Amenity Room,4
278,65,a,What was the cost?,true,,Amenity Room,4
66,,,"Are any of the services doors in need of work, and have any of them been replaced?",true,,Amenity Room,4
279,66,a,Who was the supplier?,true,,Amenity Room,4
280,66,b,What was the cost?,true,,Amenity Room,4
67,,,"When was the last time you completed any repair or replacement work on the amenity rooms not discussed above, and please specify the specific rooms?",true,,Amenity Room,4
281,67,a,Who was the supplier?,true,,Amenity Room,4
282,67,b,What was the cost?,true,,Amenity Room,4
68,,,What is the history of the Furniture and Equipment and the Common Rooms and Areas?,true,,Amenity Room,4
69,,,"When did you last replace or do work on the boiler for hydronic heat, domestic hot water heat, or domestic hot water storage tanks?",true,,Amenity Room,4
283,69,a,Who was the supplier?,true,,Amenity Room,4
284,69,b,What was the cost?,true,,Amenity Room,4
70,,,Has anything been replaced in the amenities area during the past few years that is not included in the above questions?,true,,Amenity Room,4
71,,,Are you planning any repair or replacement work in the future around the items discussed above?,true,,Amenity Room,4
72,,,When was the last time you completed any repair or replacement work on the exterior siding?,true,This includes painting the buildings.,Clubhouse,4
285,72,a,Who was the supplier?,true,,Clubhouse,4
286,72,b,What was the cost?,true,,Clubhouse,4
73,,,"If you have brick or stone veneer, when was the last time you completed any repair or replacement work?",true,,Clubhouse,4
287,73,a,Who was the supplier?,true,,Clubhouse,4
288,73,b,What was the cost?,true,,Clubhouse,4
74,,,When was the last time you completed any repair or replacement work on the building envelope?,true,,Clubhouse,4
289,74,a,What was done?,true,,Clubhouse,4
290,74,b,Who was the supplier?,true,,Clubhouse,4
291,74,c,What was the cost?,true,,Clubhouse,4
75,,,When was the last time you completed any repair or replacement work on the windows?,true,,Clubhouse,4
292,75,a,Who was the supplier?,true,,Clubhouse,4
293,75,b,What was the cost?,true,,Clubhouse,4
76,,,When was the last time you completed any repair or replacement work on the sliding doors?,true,,Clubhouse,4
294,76,a,Who was the supplier?,true,,Clubhouse,4
295,76,b,What was the cost?,true,,Clubhouse,4
77,,,When was the last time you completed any repair or replacement work on the front doors?,true,,Clubhouse,4
296,77,a,Who was the supplier?,true,,Clubhouse,4
297,77,b,What was the cost?,true,,Clubhouse,4
78,,,When was the last time you completed any repair or replacement work on the roof?,true,,Clubhouse,4
298,78,a,Who was the supplier?,true,,Clubhouse,4
299,78,b,What was the cost?,true,,Clubhouse,4
79,,,When was the clubhouse roof last replaced?,true,,Clubhouse,4
300,79,a,Who was the installer?,true,,Clubhouse,4
301,79,b,What was the cost?,true,,Clubhouse,4
80,,,"When was the last time you completed any repair or replacement work on the skylights, if any?",true,,Clubhouse,4
302,80,a,Who was the supplier?,true,,Clubhouse,4
303,80,b,What was the cost?,true,,Clubhouse,4
81,,,When was the last time you replaced the flashing?,true,,Clubhouse,4
304,81,a,Who was the supplier?,true,,Clubhouse,4
305,81,b,What was the cost?,true,,Clubhouse,4
82,,,Is there a Common Septic Field? Please describe the system.,true,,Services,4
83,,,Are there pumps to carry the wastewater from the residences to the septic tanks?,true,,Services,4
306,83,a,"If the pumps are owned by the Strata, how many?",true,,Services,4
307,83,b,Have they been replaced?,true,,Services,4
308,83,c,Who was the supplier?,true,,Services,4
309,83,d,What was the cost?,true,,Services,4
84,,,"Are the septic tanks on the strata lots? If so, proceed to Question 6.",true,,Services,4
85,,,Are there community septic tanks to hold the wastewater from the residences?,true,,Services,4
310,85,a,"If so, how many?",true,,Services,4
311,85,b,Please describe the system and recent work completed?,true,,Services,4
86,,,How many pumps are there to carry the wastewater from the septic tanks to the community septic field distribution (holding) tanks or biodigester system (if applicable)?,true,,Services,4
312,86,a,Have they been replaced?,true,,Services,4
313,86,b,Who was the supplier?,true,,Services,4
314,86,c,What was the cost?,true,,Services,4
87,,,Is there a biodigester system in place?,true,,Services,4
315,87,a,"If Yes, please describe the system and recent work completed?",true,,Services,4
316,87,b,How many pumps and septic tanks are involved?,true,,Services,4
317,87,c,Who was the supplier?,true,,Services,4
318,87,d,What was the cost?,true,,Services,4
88,,,Is the community Septic Tank original from construction?,true,,Services,4
319,88,a,Has it been replaced?,true,,Services,4
320,88,b,Who was the supplier?,true,,Services,4
321,88,c,What was the cost?,true,,Services,4
89,,,Does the Septic System have Pumps to move the wastewater from community septic field distribution (holding) tanks to the district sewer system? Please describe costs and history.,true,,Services,4
90,,,Are you planning any work in the future with the Septic System?,true,,Services,4
91,,,When was the last time you completed any work on the security system?,true,,Exterior,4
322,91,a,Who was the supplier?,true,,Exterior,4
323,91,b,What was the cost?,true,,Exterior,4
92,,,When was the last time you completed any repair or replacement work on the irrigation system?,true,,Exterior,4
324,92,a,Who was the supplier?,true,,Exterior,4
325,92,b,What was the cost?,true,,Exterior,4
93,,,"Do you share costs for maintenance of fences, etc.?",true,,Exterior,4
94,,,Are you planning any work in the future around the items discussed above?,true,,Exterior,4
95,,,"When was the last time you completed any repair or replacement work on the loading doors, or the motor?",true,,Exterior,4
326,95,a,Who was the supplier?,true,,Exterior,4
327,95,b,What was the cost?,true,,Exterior,4
96,,,Has anything been replaced in the commercial section during the past few years that is not included in the above questions?,true,,Exterior,4
97,,,Are there recent Engineers Reports?,true,,Legal,8
98,,,Are there prior Depreciation Reports?,true,,Legal,8
99,,,Are any reports recommending work that will require a specific Levy in the near future?,true,,Legal,8
100,,,Are there any Reciprocal Cost sharing agreements?,true,,Legal,8
101,,,Are there lawsuits or arbitration decisions that impact common assets?,true,,Legal,8
102,,,"Does the Strata have an Easement, Legal agreement to provide Services, Air Parcel agreement, or other legal agreements?",true,,Legal,8
103,,,Are there any alteration agreements where specific owners have taken responsibility of change to common property or attachments/alterations of the building envelope?,true,,Legal,8
104,,,Has the Strata taken responsibility for a component on/in a strata lot?,true,,Legal,8
105,,,this is a test question to see if it works,true,,Legal,1
106,,,Who let the dogs out?,false,,Interior,7
107,,,What's love got to do with it?,false,It's a second hand emotion,Legal,1
